"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Auth-Setup","0","Admin","2","0","","0"
"0","Repairer: Quoting Parts Orders","0","","8","0","","0"
"0","Supplier: Submit Quote Flow","0","","2","0","","0"
"0","Auth-Setup","0","Normal User","2","0","","0"
"0","Repairer: Quote Creation Flow","0","","2","0","","0"
"0","Repairer: Credit Management Flow","0","","2","0","","0"
"0","Supplier: Credit Request Flow","0","","2","0","","0"
"0","Repairer: Check Price for Submit Quote","0","","1","0","","0"
